h3_cell,hour,violation_count,lat,lon,location,day_of_week,baseline_count,speed_drop,ccis,status,color
8960144a2cbffff,1,1,13.0715267,77.442553,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)",2,1,0.0,0.0,green,#00CC66
8960144a2dbffff,1,4,13.0711589,77.4431048,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)",2,4,0.0,0.0,green,#00CC66
8960144a64bffff,2,3,13.0658408,77.4535494,"Mumbai Bengaluru Highway, Makali, Bengaluru, Karnataka. Pin-562162 (India)",6,3,0.0,0.0,green,#00CC66
8960144b4dbffff,23,19,13.085093,77.4864133,"Maruti Mandir Road, MSPP Layout, Soladevanahalli, Bengaluru, Karnataka. Pin-560107 (India)",1,19,0.0,0.0,green,#00CC66
8960144b5a3ffff,0,2,13.0675621,77.4496724,"Mumbai Bengaluru Highway, Alur Village, Bengaluru, Karnataka. Pin-562162 (India)",2,1,10.0,2.0,green,#00CC66
8960144b5a3ffff,0,2,13.0675621,77.4496724,"Mumbai Bengaluru Highway, Alur Village, Bengaluru, Karnataka. Pin-562162 (India)",3,1,10.0,2.0,green,#00CC66
8960144b5a3ffff,1,2,13.0689746,77.4470111,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)",2,1,10.0,2.0,green,#00CC66
8960144b5a3ffff,1,2,13.0689746,77.4470111,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)",6,1,10.0,2.0,green,#00CC66
8960144b5a3ffff,5,3,13.0679344,77.4489245,"Mumbai Bengaluru Highway, Alur Village, Bengaluru, Karnataka. Pin-562162 (India)",3,3,0.0,0.0,green,#00CC66
8960144b5a3ffff,20,5,13.0686134,77.4479003,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)",3,5,0.0,0.0,green,#00CC66
8960144b5a3ffff,21,1,13.0690099,77.4476546,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)",0,1,0.0,0.0,green,#00CC66
8960144b5a3ffff,22,1,13.0684921,77.4491596,"Mumbai Bengaluru Highway, Alur Village, Bengaluru, Karnataka. Pin-562162 (India)",0,1,0.0,0.0,green,#00CC66
8960144b5afffff,2,1,13.0699908,77.4450951,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)",4,1,0.0,0.0,green,#00CC66
8960144b5afffff,21,1,13.0697662,77.4472311,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)",3,1,0.0,0.0,green,#00CC66
8960144b5afffff,23,1,13.069246,77.4463296,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)",3,1,0.0,0.0,green,#00CC66
8960144b5b3ffff,5,1,13.0670765,77.4518708,"Huskur Main Road, Makali, Bengaluru, Karnataka. Pin-562162 (India)",3,1,0.0,0.0,green,#00CC66
8960144b5b3ffff,7,1,13.066915,77.4517433,"Huskur Main Road, Makali, Bengaluru, Karnataka. Pin-562162 (India)",3,1,0.0,0.0,green,#00CC66
8960144b5b3ffff,22,1,13.0674528,77.4509162,"Mumbai Bengaluru Highway, Alur Village, Bengaluru, Karnataka. Pin-562162 (India)",3,1,0.0,0.0,green,#00CC66
89601451097ffff,4,1,12.8778133,77.517105,"Vajarahalli Road, Pavamanapura, Bengaluru, Karnataka. Pin-560062 (India)",6,1,0.0,0.0,green,#00CC66
896014511cbffff,1,1,12.8838377,77.5019219,"Vajarahalli Road, Block 7, Banashankari Stage 6, Bengaluru, Karnataka. Pin-560062 (India)",2,1,0.0,0.0,green,#00CC66
89601451207ffff,5,16,12.9099278,77.5134405,"Sri Sri Sri Tiruchi Mahaswamiji Road, Subhash Chandrabose Nagar, BEML Layout Stage 5, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",6,16,0.0,0.0,green,#00CC66
89601451207ffff,6,10,12.9098667,77.5133867,"Sri Sri Sri Tiruchi Mahaswamiji Road, Prakruthi Aroma, BEML Layout Stage 10, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",1,8,2.5,2.5,green,#00CC66
89601451207ffff,6,10,12.9098667,77.5133867,"Sri Sri Sri Tiruchi Mahaswamiji Road, Prakruthi Aroma, BEML Layout Stage 10, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",6,2,10.0,10.0,critical,#FF4B4B
8960145120fffff,1,1,12.9132248,77.5139474,"2nd Cross Road, Janakshi Layout, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",6,1,0.0,0.0,green,#00CC66
8960145120fffff,6,1,12.9152749,77.5148713,"80 Feet Road, VBHCS Layout, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",2,1,0.0,0.0,green,#00CC66
89601451233ffff,5,5,12.909474,77.5130762,"Sri Sri Sri Tiruchi Mahaswamiji Road, Prakruthi Aroma, BEML Layout Stage 10, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",6,5,0.0,0.0,green,#00CC66
8960145123bffff,1,3,12.9128301,77.5137208,"2nd Cross Road, Janakshi Layout, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",6,3,0.0,0.0,green,#00CC66
89601451257ffff,1,1,12.9170875,77.520534,"Model Road, Krishnappa Block, BEML Layout Stage 3, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",2,1,0.0,0.0,green,#00CC66
89601451257ffff,5,4,12.9167489,77.5205911,"Model Road, Krishnappa Block, BEML Layout Stage 3, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",3,4,0.0,0.0,green,#00CC66
89601451257ffff,6,2,12.9159545,77.5206851,"3rd Cross Road, Krishnappa Block, BEML Layout Stage 3, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",6,2,0.0,0.0,green,#00CC66
89601451257ffff,7,2,12.9161067,77.5205733,"Model Road, Krishnappa Block, BEML Layout Stage 3, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",1,1,10.0,2.0,green,#00CC66
89601451257ffff,7,2,12.9161067,77.5205733,"Model Road, Krishnappa Block, BEML Layout Stage 3, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",4,1,10.0,2.0,green,#00CC66
89601451257ffff,8,4,12.9161165,77.5205401,"Model Road, Krishnappa Block, BEML Layout Stage 3, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",0,1,10.0,4.0,monitor,#FFA500
89601451257ffff,8,4,12.9161165,77.5205401,"Model Road, Krishnappa Block, BEML Layout Stage 3, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",1,3,3.33,1.33,green,#00CC66
89601451263ffff,0,1,12.9201698,77.5140677,"Sri Sri Sri Tiruchi Mahaswamiji Road, Suguna Elite Avenue, Halagevaderahalli, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",5,1,0.0,0.0,green,#00CC66
89601451263ffff,22,2,12.91756,77.513475,"Sri Sri Sri Tiruchi Mahaswamiji Road, Rajsri Apartment, Pattanagere, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",2,2,0.0,0.0,green,#00CC66
89601451263ffff,23,2,12.9199483,77.51379,"Sri Sri Sri Tiruchi Mahaswamiji Road, Suguna Elite Avenue, Halagevaderahalli, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",2,1,10.0,2.0,green,#00CC66
89601451263ffff,23,2,12.9199483,77.51379,"Sri Sri Sri Tiruchi Mahaswamiji Road, Suguna Elite Avenue, Halagevaderahalli, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",5,1,10.0,2.0,green,#00CC66
8960145126bffff,22,2,12.922075,77.51448,"Sri Sri Sri Tiruchi Mahaswamiji Road, Halagevaderahalli, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",2,2,0.0,0.0,green,#00CC66
8960145126bffff,23,1,12.9217983,77.514415,"Sri Sri Sri Tiruchi Mahaswamiji Road, Suguna Elite Avenue, Halagevaderahalli, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",2,1,0.0,0.0,green,#00CC66
89601451287ffff,5,1,12.9026833,77.5190814,"Dr Vishnuvardhan Main Road, Channasandra, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",5,1,0.0,0.0,green,#00CC66
896014512a3ffff,6,1,12.9043085,77.5123713,"Sri Sri Sri Tiruchi Mahaswamiji Road, Srinivasapura Cross, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",2,1,0.0,0.0,green,#00CC66
896014512a3ffff,20,2,12.9041905,77.5124492,"Sri Sri Sri Tiruchi Mahaswamiji Road, Srinivasapura Cross, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",2,2,0.0,0.0,green,#00CC66
896014512a7ffff,5,1,12.9039264,77.5108473,"24th Main Road, Kanakadas Circle, Gaanakallu, Bengaluru, Karnataka. Pin-560060 (India)",2,1,0.0,0.0,green,#00CC66
8960145140bffff,9,1,12.8762617,77.5292786,"Vajarahalli Road, Prasad Layout, Ganigara Palya, Lingadheeranahalli Andhrahalli, Bengaluru, Karnataka. Pin-560109 (India)",6,1,0.0,0.0,green,#00CC66
8960145140bffff,23,1,12.8760097,77.5308781,"Vajarahalli Road, Sobha Forest View, Lingadheeranahalli Andhrahalli, Bengaluru, Karnataka. Pin-560061 (India)",6,1,0.0,0.0,green,#00CC66
8960145141bffff,23,1,12.8760065,77.5317885,"1st Cross Road, Sobha Forest View, Lingadheeranahalli Andhrahalli, Bengaluru, Karnataka. Pin-560061 (India)",6,1,0.0,0.0,green,#00CC66
89601451483ffff,0,1,12.8661751,77.5355604,"Main Road, Judicial Layout Phase II, Talagattapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560062, India",6,1,0.0,0.0,green,#00CC66
89601451483ffff,1,3,12.8673143,77.5351722,"Konanakunte Main Road, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)",1,1,10.0,3.0,green,#00CC66
89601451483ffff,1,3,12.8673143,77.5351722,"Konanakunte Main Road, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)",5,1,10.0,3.0,green,#00CC66
